scenario,seed,strategy,detection_probability,false_alarm_probability,interception_ratio,average_intercept_delay,average_reward,coverage
bursty,15,Smart Adaptive,0.9285714285714286,0.041666666666666664,0.387434554973822,18.972972972972972,0.23,1.0
bursty,16,Sequential,0.9375,0.08333333333333333,0.355,29.47887323943662,0.08,1.0
bursty,16,Random,0.9545454545454546,0.07692307692307693,0.44,21.977272727272727,0.15,0.95
bursty,16,Adaptive,1.0,0.09210526315789473,0.175,17.2,0.17,1.0
bursty,16,Smart Adaptive,1.0,0.09722222222222222,0.315,25.142857142857142,0.21,1.0
bursty,17,Sequential,0.8333333333333334,0.07317073170731707,0.3811881188118812,25.493506493506494,0.09,1.0
bursty,17,Random,1.0,0.0759493670886076,0.46534653465346537,25.22340425531915,0.15,1.0
bursty,17,Adaptive,1.0,0.04819277108433735,0.14356435643564355,15.344827586206897,0.13,1.0
bursty,17,Smart Adaptive,1.0,0.07142857142857142,0.3613861386138614,25.65753424657534,0.1,1.0
bursty,18,Sequential,0.9047619047619048,0.08860759493670886,0.42857142857142855,24.080459770114942,0.12,1.0
bursty,18,Random,0.88,0.06666666666666667,0.4039408866995074,26.426829268292682,0.17,0.95
bursty,18,Adaptive,0.9166666666666666,0.06578947368421052,0.2512315270935961,19.80392156862745,0.17,1.0
bursty,18,Smart Adaptive,0.8947368421052632,0.06172839506172839,0.3054187192118227,23.725806451612904,0.12,1.0
bursty,19,Sequential,0.9523809523809523,0.06329113924050633,0.4320388349514563,19.95505617977528,0.15,1.0
bursty,19,Random,1.0,0.06578947368421052,0.4368932038834951,21.07777777777778,0.19,1.0
bursty,19,Adaptive,0.9411764705882353,0.08433734939759036,0.18932038834951456,13.051282051282051,0.09,1.0
bursty,19,Smart Adaptive,0.9444444444444444,0.08536585365853659,0.33980582524271846,21.814285714285713,0.1,1.0
bursty,20,Sequential,0.95,0.0625,0.45045045045045046,23.9,0.14,1.0
bursty,20,Random,0.9,0.075,0.3108108108108108,18.942028985507246,0.12,1.0
bursty,20,Adaptive,0.95,0.0625,0.16666666666666666,18.513513513513512,0.14,1.0
bursty,20,Smart Adaptive,1.0,0.07142857142857142,0.22522522522522523,20.76,0.1,1.0
mixed,1,Sequential,0.90625,0.058823529411764705,0.6310679611650486,26.984615384615385,0.25,1.0
mixed,1,Random,0.9743589743589743,0.11475409836065574,0.5501618122977346,19.82941176470588,0.31,1.0
mixed,1,Adaptive,1.0,0.10344827586206896,0.2459546925566343,14.407894736842104,0.36,1.0
mixed,1,Smart Adaptive,0.9583333333333334,0.11538461538461539,0.4077669902912621,15.738095238095237,0.4,1.0
mixed,2,Sequential,0.9230769230769231,0.06557377049180328,0.7463556851311953,24.640625,0.32,1.0
mixed,2,Random,0.9473684210526315,0.04838709677419355,0.5364431486880467,20.70108695652174,0.33,1.0
mixed,2,Adaptive,0.9444444444444444,0.06521739130434782,0.23323615160349853,13.2,0.48,1.0
mixed,2,Smart Adaptive,0.9423076923076923,0.041666666666666664,0.42565597667638483,22.465753424657535,0.47,1.0
mixed,3,Sequential,0.9166666666666666,0.0625,0.6325301204819277,21.02857142857143,0.29,1.0
mixed,3,Random,0.9714285714285714,0.06153846153846154,0.5150602409638554,21.614035087719298,0.3,1.0
mixed,3,Adaptive,0.9516129032258065,0.07894736842105263,0.3674698795180723,16.31967213114754,0.56,1.0
mixed,3,Smart Adaptive,0.9772727272727273,0.03571428571428571,0.4939759036144578,18.646341463414632,0.41,1.0
mixed,4,Sequential,1.0,0.05970149253731343,0.7117117117117117,23.80590717299578,0.29,1.0
mixed,4,Random,0.9743589743589743,0.08196721311475409,0.6336336336336337,24.587677725118482,0.33,1.0
mixed,4,Adaptive,0.9215686274509803,0.061224489795918366,0.15615615615615616,15.48076923076923,0.44,1.0
mixed,4,Smart Adaptive,0.9534883720930233,0.08771929824561403,0.3063063063063063,26.19607843137255,0.36,1.0
mixed,5,Sequential,0.967741935483871,0.07246376811594203,0.5562310030395137,20.08743169398907,0.25,1.0
mixed,5,Random,0.9534883720930233,0.07017543859649122,0.7082066869300911,24.446351931330472,0.37,1.0
