scenario,strategy,metric,mean,std,median,min,max
mixed,Adaptive,interception_ratio,0.24984899826242918,0.07255267478740889,0.24473059303156391,0.12693498452012383,0.3674698795180723
mixed,Adaptive,average_intercept_delay,14.61701659450217,4.402861316431387,14.826674641148326,6.512195121951219,23.32758620689655
mixed,Adaptive,average_reward,0.457,0.07284446299804595,0.475,0.27,0.56
mixed,Adaptive,coverage,1.0,0.0,1.0,1.0,1.0
mixed,Smart Adaptive,detection_probability,0.9526546881219633,0.02577323122931988,0.9540169133192389,0.8974358974358975,1.0
mixed,Smart Adaptive,false_alarm_probability,0.06307564298334578,0.022167872816894297,0.06726964386659129,0.02127659574468085,0.11538461538461539
mixed,Smart Adaptive,interception_ratio,0.3838479884312152,0.06922228246185996,0.3894612587513794,0.2724458204334365,0.5015197568389058
mixed,Smart Adaptive,average_intercept_delay,17.44277947174921,4.760739751036026,17.926016746411484,6.446808510638298,26.19607843137255
mixed,Smart Adaptive,average_reward,0.399,0.05571544244027673,0.405,0.31,0.5
mixed,Smart Adaptive,coverage,1.0,0.0,1.0,1.0,1.0
